"number_edges_cminet","number_edges_phy","TP","F_score"
400,401,326,0.81398252184769
400,369,312,0.811443433029909
400,399,324,0.811013767209011
400,389,319,0.808618504435995
400,404,323,0.803482587064677
400,397,319,0.800501882057716
400,397,318,0.797992471769134
400,377,310,0.797940797940798
400,374,307,0.79328165374677
400,390,313,0.792405063291139
400,408,320,0.792079207920792
400,378,308,0.791773778920308
400,385,310,0.789808917197452
400,376,304,0.783505154639175
400,394,311,0.783375314861461
400,391,309,0.781289506953224
400,386,307,0.78117048346056
400,395,310,0.779874213836478
400,362,297,0.779527559055118
400,396,310,0.778894472361809
400,392,308,0.777777777777778
400,390,307,0.777215189873418
400,388,306,0.776649746192893
400,419,318,0.776556776556777
400,373,300,0.776196636481242
400,394,308,0.775818639798489
400,379,301,0.772785622593068
400,387,304,0.772554002541296
400,394,306,0.770780856423174
400,389,304,0.770595690747782
400,402,309,0.770573566084788
400,385,302,0.769426751592357
400,414,313,0.769041769041769
400,383,300,0.766283524904215
400,377,297,0.764478764478765
400,399,305,0.763454317897372
400,384,299,0.762755102040816
400,375,294,0.758709677419355
400,391,300,0.758533501896334
400,376,294,0.757731958762887
400,374,293,0.757105943152455
400,396,301,0.756281407035176
400,394,300,0.755667506297229
400,379,294,0.754813863928113
400,370,290,0.753246753246753
400,397,299,0.750313676286073
400,403,301,0.749688667496887
400,380,288,0.738461538461539
400,391,292,0.738305941845765
400,393,292,0.736443883984868
