"number_edges_cminet","number_edges_phy","TP","F_score"
249,240,195,0.797546012269939
249,250,208,0.833667334669339
249,236,195,0.804123711340206
249,250,202,0.809619238476954
249,213,178,0.77056277056277
249,249,206,0.827309236947791
249,209,183,0.799126637554585
249,273,213,0.816091954022989
249,244,200,0.811359026369168
249,219,189,0.807692307692308
249,246,200,0.808080808080808
249,249,200,0.803212851405622
249,250,190,0.761523046092184
249,259,204,0.803149606299213
249,241,198,0.808163265306122
249,247,202,0.814516129032258
249,235,193,0.797520661157025
249,239,198,0.811475409836066
249,237,197,0.810699588477366
249,249,202,0.811244979919679
249,230,192,0.801670146137787
249,242,197,0.80244399185336
249,257,198,0.782608695652174
249,233,202,0.838174273858921
249,245,202,0.817813765182186
249,249,198,0.795180722891566
249,240,196,0.801635991820041
249,250,210,0.841683366733467
249,241,203,0.828571428571429
249,231,186,0.775
249,230,188,0.784968684759916
249,261,208,0.815686274509804
249,276,207,0.788571428571428
249,216,193,0.83010752688172
249,255,206,0.817460317460318
249,248,198,0.796780684104628
249,242,191,0.778004073319756
249,229,193,0.807531380753138
249,235,194,0.801652892561983
249,231,201,0.8375
249,224,184,0.778012684989429
249,247,204,0.82258064516129
249,257,205,0.810276679841897
249,265,212,0.824902723735409
249,244,198,0.803245436105477
249,249,199,0.799196787148594
249,249,205,0.823293172690763
249,238,194,0.796714579055442
249,253,201,0.800796812749004
249,256,201,0.796039603960396
