"number_edges_cminet","number_edges_phy","TP","F_score"
128,114,99,0.818181818181818
128,128,111,0.8671875
128,113,97,0.804979253112033
128,138,110,0.827067669172932
128,109,98,0.827004219409283
128,134,114,0.870229007633588
128,109,96,0.810126582278481
128,133,113,0.865900383141763
128,130,110,0.852713178294574
128,120,102,0.82258064516129
128,134,109,0.83206106870229
128,124,105,0.833333333333333
128,125,105,0.8300395256917
128,123,102,0.812749003984064
128,140,115,0.85820895522388
128,139,109,0.816479400749064
128,114,102,0.84297520661157
128,134,114,0.870229007633588
128,114,103,0.851239669421488
128,129,104,0.809338521400778
128,120,106,0.854838709677419
128,128,111,0.8671875
128,135,106,0.806083650190114
128,110,99,0.831932773109244
128,126,111,0.874015748031496
128,131,106,0.818532818532819
128,122,98,0.784
128,120,110,0.887096774193548
128,123,104,0.828685258964143
128,115,101,0.831275720164609
128,118,105,0.853658536585366
128,136,111,0.840909090909091
128,147,112,0.814545454545455
128,120,105,0.846774193548387
128,139,113,0.846441947565543
128,128,105,0.8203125
128,128,111,0.8671875
128,118,105,0.853658536585366
128,126,112,0.881889763779527
128,119,103,0.834008097165992
128,115,97,0.79835390946502
128,120,106,0.854838709677419
128,128,110,0.859375
128,131,108,0.833976833976834
128,128,103,0.8046875
128,123,102,0.812749003984064
128,136,111,0.840909090909091
128,139,114,0.853932584269663
128,130,111,0.86046511627907
128,132,106,0.815384615384615
