"number_edges_cminet","number_edges_phy","TP","F_score"
396,364,259,0.681578947368421
396,423,286,0.698412698412698
396,336,240,0.655737704918033
396,448,296,0.701421800947867
396,442,290,0.692124105011933
396,430,307,0.743341404358353
396,417,284,0.698646986469865
396,445,299,0.711058263971462
396,467,291,0.674391657010429
396,417,291,0.715867158671587
396,375,275,0.713359273670558
396,444,299,0.711904761904762
396,451,278,0.656434474616293
396,371,271,0.706649282920469
396,439,278,0.665868263473054
396,382,269,0.691516709511568
396,359,252,0.667549668874172
396,428,287,0.696601941747573
396,470,303,0.699769053117783
396,447,278,0.659549228944247
396,431,276,0.667472793228537
396,441,303,0.724014336917563
396,446,294,0.69833729216152
396,387,281,0.717752234993614
396,446,298,0.707838479809976
396,480,292,0.666666666666667
396,474,307,0.705747126436782
396,462,307,0.715617715617716
396,352,264,0.705882352941177
396,421,282,0.690330477356181
396,467,291,0.674391657010429
396,466,298,0.691415313225058
396,481,299,0.681870011402509
396,427,297,0.721749696233293
396,453,294,0.692579505300353
396,438,296,0.709832134292566
396,416,268,0.660098522167488
396,450,305,0.721040189125296
396,434,299,0.720481927710843
396,448,303,0.718009478672986
396,442,295,0.704057279236277
396,382,282,0.724935732647815
396,454,296,0.696470588235294
396,464,294,0.683720930232558
396,352,260,0.695187165775401
396,369,257,0.671895424836601
396,450,292,0.690307328605201
396,344,255,0.689189189189189
396,448,283,0.670616113744076
396,437,295,0.70828331332533
