"number_edges_cminet","number_edges_phy","TP","F_score"
75,68,65,0.909090909090909
75,74,66,0.885906040268456
75,72,65,0.884353741496599
75,68,63,0.881118881118881
75,69,63,0.875
75,76,66,0.874172185430464
75,67,62,0.873239436619718
75,67,62,0.873239436619718
75,70,63,0.868965517241379
75,77,66,0.868421052631579
75,66,61,0.865248226950355
75,70,62,0.855172413793103
75,73,63,0.851351351351351
75,66,60,0.851063829787234
75,71,62,0.849315068493151
75,71,62,0.849315068493151
75,71,62,0.849315068493151
75,64,59,0.848920863309353
75,72,62,0.843537414965986
75,72,62,0.843537414965986
75,75,63,0.84
75,75,63,0.84
75,75,63,0.84
75,68,60,0.839160839160839
75,73,62,0.837837837837838
75,66,59,0.836879432624113
75,66,59,0.836879432624113
75,71,61,0.835616438356164
75,81,65,0.833333333333333
75,74,62,0.832214765100671
75,79,64,0.831168831168831
75,67,59,0.830985915492958
75,72,61,0.829931972789116
75,75,62,0.826666666666667
75,63,57,0.826086956521739
75,68,59,0.825174825174825
75,73,61,0.824324324324324
75,78,63,0.823529411764706
75,66,58,0.822695035460993
75,74,61,0.818791946308725
75,67,58,0.816901408450704
75,72,60,0.816326530612245
75,71,59,0.808219178082192
75,64,56,0.805755395683453
75,64,56,0.805755395683453
75,74,60,0.805369127516779
75,73,59,0.797297297297297
75,61,54,0.794117647058823
75,69,57,0.791666666666667
75,68,56,0.783216783216783
