"number_edges_cminet","number_edges_phy","TP","F_score"
166,165,146,0.882175226586103
166,162,144,0.878048780487805
166,169,146,0.871641791044776
166,160,142,0.871165644171779
166,164,143,0.866666666666667
166,157,139,0.860681114551084
166,151,136,0.858044164037855
166,139,130,0.852459016393443
166,165,141,0.851963746223565
166,151,135,0.851735015772871
166,168,142,0.850299401197605
166,153,135,0.846394984326019
166,163,139,0.844984802431611
166,156,136,0.84472049689441
166,168,141,0.844311377245509
166,161,138,0.844036697247706
166,152,134,0.842767295597484
166,164,139,0.842424242424242
166,162,138,0.841463414634146
166,148,132,0.840764331210191
166,151,133,0.839116719242902
166,142,129,0.837662337662338
166,154,134,0.8375
166,150,132,0.835443037974684
166,155,134,0.834890965732087
166,155,134,0.834890965732087
166,168,139,0.832335329341317
166,149,131,0.831746031746032
166,169,139,0.829850746268657
166,158,134,0.827160493827161
166,146,129,0.826923076923077
166,163,136,0.826747720364742
166,140,126,0.823529411764706
166,161,134,0.819571865443425
166,149,129,0.819047619047619
166,173,138,0.814159292035398
166,159,132,0.812307692307692
166,157,131,0.811145510835913
166,172,137,0.810650887573965
166,165,133,0.803625377643505
166,148,126,0.802547770700637
166,171,135,0.801186943620178
166,147,125,0.798722044728435
166,180,138,0.797687861271676
166,159,129,0.793846153846154
166,146,123,0.788461538461538
166,141,121,0.788273615635179
166,156,124,0.770186335403727
166,135,115,0.764119601328904
166,152,121,0.761006289308176
