"number_edges_cminet","number_edges_phy","TP","F_score"
94,82,75,0.852272727272727
94,90,76,0.826086956521739
94,80,75,0.862068965517241
94,89,77,0.841530054644809
94,82,72,0.818181818181818
94,102,84,0.857142857142857
94,81,74,0.845714285714286
94,102,81,0.826530612244898
94,89,79,0.863387978142077
94,89,77,0.841530054644809
94,91,75,0.810810810810811
94,90,77,0.83695652173913
94,87,76,0.839779005524862
94,86,76,0.844444444444444
94,102,80,0.816326530612245
94,98,79,0.822916666666667
94,90,76,0.826086956521739
94,94,82,0.872340425531915
94,85,74,0.826815642458101
94,94,81,0.861702127659574
94,86,76,0.844444444444444
94,90,80,0.869565217391304
94,96,74,0.778947368421053
94,83,72,0.813559322033898
94,90,81,0.880434782608696
94,90,78,0.847826086956522
94,93,76,0.81283422459893
94,92,82,0.881720430107527
94,80,72,0.827586206896552
94,90,78,0.847826086956522
94,83,71,0.80225988700565
94,99,82,0.849740932642487
94,100,81,0.835051546391753
94,76,66,0.776470588235294
94,93,81,0.866310160427808
94,99,81,0.839378238341969
94,95,78,0.825396825396825
94,84,79,0.887640449438202
94,96,81,0.852631578947368
94,91,78,0.843243243243243
94,89,75,0.819672131147541
94,85,77,0.860335195530726
94,99,87,0.901554404145078
94,91,81,0.875675675675676
94,84,72,0.808988764044944
94,87,77,0.850828729281768
94,101,80,0.82051282051282
94,92,80,0.860215053763441
94,95,83,0.878306878306878
94,94,83,0.882978723404255
