"number_edges_cminet","number_edges_phy","TP","F_score"
114,107,96,0.868778280542986
114,96,82,0.780952380952381
114,81,69,0.707692307692308
114,150,105,0.795454545454545
114,101,92,0.855813953488372
114,131,101,0.824489795918367
114,142,105,0.8203125
114,96,87,0.828571428571429
114,301,113,0.544578313253012
114,123,94,0.793248945147679
114,129,93,0.765432098765432
114,98,89,0.839622641509434
114,137,103,0.820717131474104
114,89,81,0.798029556650246
114,89,83,0.817733990147783
114,116,93,0.808695652173913
114,130,104,0.852459016393443
114,123,100,0.843881856540084
114,140,107,0.84251968503937
114,99,89,0.835680751173709
114,122,102,0.864406779661017
114,86,79,0.79
114,137,104,0.828685258964143
114,110,91,0.8125
114,103,91,0.838709677419355
114,134,105,0.846774193548387
114,109,98,0.878923766816143
114,97,86,0.815165876777251
114,121,96,0.817021276595745
114,86,76,0.76
114,117,103,0.891774891774892
114,108,85,0.765765765765766
114,125,103,0.861924686192469
114,130,100,0.819672131147541
114,110,99,0.883928571428572
114,110,89,0.794642857142857
114,116,105,0.91304347826087
114,124,106,0.890756302521008
114,144,105,0.813953488372093
114,89,80,0.788177339901478
114,130,104,0.852459016393443
114,105,90,0.821917808219178
114,145,105,0.810810810810811
114,114,97,0.850877192982456
114,126,102,0.85
114,116,93,0.808695652173913
114,131,105,0.857142857142857
114,99,84,0.788732394366197
114,113,103,0.907488986784141
114,105,97,0.885844748858447
