"number_edges_cminet","number_edges_phy","TP","F_score"
196,196,173,0.88265306122449
196,196,141,0.719387755102041
196,196,147,0.75
196,196,159,0.811224489795918
196,196,167,0.852040816326531
196,196,157,0.801020408163265
196,196,158,0.806122448979592
196,196,172,0.877551020408163
196,196,165,0.841836734693877
196,196,151,0.770408163265306
196,196,151,0.770408163265306
196,196,164,0.836734693877551
196,196,166,0.846938775510204
196,196,165,0.841836734693877
196,196,166,0.846938775510204
196,196,161,0.821428571428571
196,196,167,0.852040816326531
196,196,160,0.816326530612245
196,196,168,0.857142857142857
196,196,172,0.877551020408163
196,196,165,0.841836734693877
196,196,159,0.811224489795918
196,196,162,0.826530612244898
196,196,158,0.806122448979592
196,196,164,0.836734693877551
196,196,156,0.795918367346939
196,196,159,0.811224489795918
196,196,155,0.790816326530612
196,196,161,0.821428571428571
196,196,153,0.780612244897959
196,196,166,0.846938775510204
196,196,146,0.744897959183674
196,196,159,0.811224489795918
196,196,163,0.831632653061224
196,196,172,0.877551020408163
196,196,139,0.709183673469388
196,196,167,0.852040816326531
196,196,168,0.857142857142857
196,196,152,0.775510204081633
196,196,149,0.760204081632653
196,196,155,0.790816326530612
196,196,158,0.806122448979592
196,196,166,0.846938775510204
196,196,162,0.826530612244898
196,196,165,0.841836734693877
196,196,156,0.795918367346939
196,196,159,0.811224489795918
196,196,162,0.826530612244898
196,196,162,0.826530612244898
196,196,165,0.841836734693877
