"number_edges_cminet","number_edges_phy","TP","F_score"
278,278,244,0.877697841726619
278,270,238,0.868613138686131
278,269,236,0.862888482632541
278,293,243,0.851138353765324
278,267,231,0.847706422018349
278,279,236,0.847396768402154
278,272,233,0.847272727272727
278,268,231,0.846153846153846
278,273,233,0.84573502722323
278,276,234,0.844765342960289
278,276,234,0.844765342960289
278,269,231,0.844606946983547
278,272,232,0.843636363636364
278,272,232,0.843636363636364
278,280,235,0.842293906810036
278,273,232,0.842105263157895
278,271,230,0.837887067395264
278,283,235,0.837789661319073
278,275,231,0.835443037974684
278,275,231,0.835443037974684
278,261,225,0.834879406307978
278,265,226,0.832412523020258
278,268,227,0.831501831501831
278,264,224,0.826568265682657
278,275,228,0.824593128390597
278,268,225,0.824175824175824
278,285,232,0.824156305506217
278,275,227,0.820976491862568
278,271,225,0.819672131147541
278,267,223,0.818348623853211
278,260,220,0.817843866171004
278,274,225,0.815217391304348
278,257,218,0.814953271028037
278,264,220,0.811808118081181
278,279,226,0.81149012567325
278,274,223,0.807971014492754
278,270,221,0.806569343065693
278,248,212,0.806083650190114
278,271,221,0.805100182149363
278,280,224,0.802867383512545
278,273,221,0.802177858439201
278,273,221,0.802177858439201
278,271,219,0.797814207650273
278,275,220,0.795660036166365
278,271,218,0.794171220400729
278,280,221,0.792114695340502
278,279,216,0.775583482944345
278,266,210,0.772058823529412
278,277,214,0.771171171171171
278,266,208,0.764705882352941
