"number_edges_cminet","number_edges_phy","TP","F_score"
29,25,21,0.777777777777778
29,35,22,0.6875
29,26,15,0.545454545454545
29,27,20,0.714285714285714
29,21,19,0.76
29,34,23,0.73015873015873
29,29,26,0.896551724137931
29,27,19,0.678571428571429
29,37,19,0.575757575757576
29,34,22,0.698412698412698
29,24,18,0.679245283018868
29,25,19,0.703703703703704
29,27,17,0.607142857142857
29,22,17,0.666666666666667
29,23,18,0.692307692307692
29,28,20,0.701754385964912
29,25,22,0.814814814814815
29,25,20,0.740740740740741
29,30,21,0.711864406779661
29,23,19,0.730769230769231
29,25,20,0.740740740740741
29,26,19,0.690909090909091
29,29,23,0.793103448275862
29,26,20,0.727272727272727
29,27,20,0.714285714285714
29,25,20,0.740740740740741
29,27,18,0.642857142857143
29,22,20,0.784313725490196
29,23,19,0.730769230769231
29,22,18,0.705882352941177
29,21,18,0.72
29,27,16,0.571428571428571
29,31,21,0.7
29,21,16,0.64
29,27,23,0.821428571428572
29,28,23,0.807017543859649
29,23,18,0.692307692307692
29,24,19,0.716981132075472
29,32,21,0.688524590163935
29,20,17,0.693877551020408
29,26,18,0.654545454545455
29,28,18,0.631578947368421
29,28,16,0.56140350877193
29,32,23,0.754098360655738
29,28,21,0.736842105263158
29,27,21,0.75
29,28,21,0.736842105263158
29,22,19,0.745098039215686
29,32,24,0.78688524590164
29,27,21,0.75
