"number_edges_cminet","number_edges_phy","TP","F_score"
1047,891,673,0.69453044375645
1047,948,675,0.676691729323308
1047,842,675,0.714663843303335
1047,1021,744,0.71953578336557
1047,1104,805,0.748489074848907
1047,1091,781,0.730589335827876
1047,1067,777,0.735099337748344
1047,929,702,0.710526315789474
1047,1004,708,0.690394929302779
1047,1086,758,0.710736052508204
1047,1189,789,0.70572450805009
1047,1134,781,0.716185236130215
1047,1076,737,0.694300518134715
1047,932,703,0.710459828196059
1047,861,692,0.725366876310273
1047,1082,758,0.712071395021137
1047,1149,768,0.699453551912568
1047,1109,796,0.738404452690167
1047,1099,770,0.717614165890028
1047,1054,749,0.712993812470252
1047,1101,767,0.71415270018622
1047,925,684,0.693711967545639
1047,1132,757,0.694814134924277
1047,1111,785,0.727525486561631
1047,1167,781,0.705510388437218
1047,1075,763,0.719132893496701
1047,876,677,0.704108164326573
1047,906,673,0.689196108550947
1047,1109,768,0.712430426716141
1047,939,672,0.676737160120846
1047,885,679,0.702898550724638
1047,1164,777,0.702849389416554
1047,1165,776,0.701627486437613
1047,1153,788,0.716363636363636
1047,1106,805,0.747793776126335
1047,976,716,0.707859614434009
1047,1117,793,0.732902033271719
1047,901,686,0.704312114989733
1047,1099,752,0.700838769804287
1047,944,712,0.715218483174284
1047,1089,774,0.724719101123595
1047,934,688,0.69459868753155
1047,1078,801,0.753882352941176
1047,909,698,0.713701431492843
1047,1113,775,0.717592592592593
1047,926,674,0.683223517486062
1047,1105,782,0.726765799256506
1047,1179,793,0.712488769092543
1047,1119,810,0.74792243767313
1047,1133,802,0.735779816513761
