"Actinobacteria","Acidobacteriae","Anaerolineae","Gemmatimonadetes","Alphaproteobacteria","Vicinamibacteria","Nitrospiria","Gammaproteobacteria","Polyangia","Bacteroidia","Bacilli","Clostridia","Acidimicrobiia","Verrucomicrobiae","Thermoleophilia","Chloroflexia","Myxococcia","TK10","KD4.96","Saccharimonadia","Bdellovibrionia","Planctomycetes","Ktedonobacteria","Blastocatellia","Oligoflexia","Holophagae","JG30.KF.CM66","OLB14","Parcubacteria","Methylomirabilia","Microgenomatia","Cyanobacteriia","MB.A2.108","Babeliae","Thermoanaerobaculia","Chlamydiae","Dehalococcoidia","Gitt.GS.136","Phycisphaerae","Vampirivibrionia","Elusimicrobia","Fibrobacteria","Kapabacteria","SHA.26","P2.11E","Sericytochromatia","Chthonomonadetes","bacteriap25","Dojkabacteria","AD3","Longimicrobia","Lineage.IIa","S0134.terrestrial.group","Subgroup.25","Subgroup.5","Fimbriimonadia","Gracilibacteria","Ignavibacteria","Lineage.IIb","OM190","Negativicutes","Subgroup.22","WWE3","BD2.11.terrestrial.group","Deinococci","Latescibacteria","Desulfuromonadia","BD7.11","Desulfitobacteriia","Subgroup.11","Kryptonia","Sumerlaeia","Pla4.lineage","Berkelbacteria","ABY1","Armatimonadia","Spirochaetia","AKAU4049","Omnitrophia","Limnochordia","Abditibacteria","Syntrophobacteria","Nanoarchaeia","Rhodothermia","Symbiobacteriia","Entotheonellia","Desulfobulbia","Thermodesulfovibrionia","Desulfobaccia","Kazania","Hydrogenedentia","Desulfobacteria","Coriobacteriia","Subgroup.18","vadinHA49","Thermoplasmata","Aminicenantia","AT.s3.28","Syntrophia","response"
2339,3816,284,1164,3454,486,87,2071,421,755,839,167,470,1869,1046,184,92,218,610,180,14,126,1452,136,40,172,111,63,75,11,19,84,93,2,18,13,38,0,2,24,21,68,61,0,11,0,0,0,3,355,0,36,4,0,10,6,0,0,5,0,0,0,14,0,0,0,0,10,0,0,0,4,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2947,3458,362,793,4402,296,40,2555,638,1801,563,184,683,1596,877,291,105,191,570,373,58,547,2071,103,6,139,99,49,56,0,15,202,24,8,33,14,42,0,23,29,42,39,46,0,0,10,0,0,16,344,0,0,0,0,6,0,0,0,14,0,0,0,0,0,2,0,37,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,5188,287,1467,4412,551,108,3097,527,1242,887,160,691,2375,1694,442,43,350,828,292,25,478,2017,214,36,239,166,75,51,11,41,193,112,6,11,7,48,0,19,32,30,8,58,2,14,0,44,4,3,724,0,54,6,0,3,0,0,0,9,0,0,0,5,9,0,0,0,9,6,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0
2430,1935,554,789,3706,682,182,1888,319,1155,851,220,534,1761,1241,502,50,181,1019,295,5,283,572,272,35,195,57,52,105,74,35,195,101,13,33,20,50,48,13,12,9,0,10,10,19,4,3,48,9,153,0,14,2,0,0,0,6,0,0,10,0,0,0,6,0,8,8,9,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4169,3945,190,1020,5694,448,90,3706,323,4617,722,189,562,2869,1476,507,72,292,677,385,58,440,1932,173,88,184,109,43,32,16,39,642,86,2,12,0,32,0,8,32,15,8,41,0,10,0,34,7,8,383,0,20,0,0,0,5,0,0,15,0,3,0,0,6,14,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4202,2018,572,1282,5276,1135,249,2542,552,1187,1523,450,711,2512,1940,1060,207,134,1593,671,48,71,636,575,68,190,100,92,95,110,137,746,291,49,37,17,105,788,41,27,6,17,5,34,130,0,37,50,30,80,5,0,8,15,22,0,0,8,18,4,0,0,0,3,20,16,8,7,12,0,7,3,0,4,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1
2907,2148,60,868,3746,145,27,1839,218,1862,625,110,192,1591,756,239,247,73,353,560,83,153,1086,137,53,70,58,31,125,15,53,2137,52,0,3,11,0,0,0,30,23,12,13,0,4,27,44,0,9,141,14,10,0,0,0,10,3,0,3,0,0,0,0,2,152,0,0,11,0,0,0,0,0,2,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3634,1958,538,1098,3435,650,80,1585,304,1573,1591,716,473,1540,1269,998,415,274,757,598,61,143,1028,550,81,343,60,22,145,15,78,1778,68,0,64,0,2,508,5,10,0,67,13,7,16,27,31,13,0,36,14,20,15,0,8,18,5,0,5,0,0,0,4,0,51,0,78,7,109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4736,1341,607,1351,5792,1621,389,2723,490,2129,3027,107,1329,1786,2345,1391,287,190,1644,437,97,201,558,739,89,342,65,60,69,246,43,69,393,11,45,14,72,927,53,32,15,9,0,49,41,18,4,97,4,16,4,2,13,127,31,10,2,5,8,0,11,7,0,0,17,6,4,20,0,0,0,0,0,2,5,0,0,18,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,777,285,710,3257,1031,214,1400,488,1703,1782,122,771,1338,1432,780,169,49,1039,385,67,205,276,589,92,134,42,28,44,103,44,6,205,4,39,0,27,499,42,5,6,2,6,26,7,25,22,61,0,0,14,19,13,76,6,10,0,6,3,6,2,5,0,0,9,0,0,10,0,0,0,3,0,8,0,3,0,0,0,0,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
