"number_edges_cminet","number_edges_phy","TP","F_score"
1288,1247,872,0.687968441814596
1288,1354,917,0.694171082513248
1288,1175,804,0.652862362971985
1288,1405,960,0.71295952469365
1288,1464,868,0.630813953488372
1288,1425,960,0.707703649096941
1288,1498,958,0.687724335965542
1288,1422,920,0.678966789667897
1288,1523,940,0.668801138384916
1288,1408,952,0.706231454005935
1288,1232,855,0.678571428571429
1288,1411,911,0.675064838829196
1288,1438,901,0.661041819515774
1288,1154,801,0.656019656019656
1288,1460,951,0.692139737991266
1288,1195,854,0.687877567458719
1288,1186,822,0.664510913500404
1288,1421,938,0.69250645994832
1288,1501,963,0.690570096808892
1288,1437,877,0.643669724770642
1288,1461,917,0.667151691524191
1288,1408,943,0.699554896142433
1288,1358,907,0.685563114134543
1288,1162,858,0.700408163265306
1288,1404,917,0.681277860326895
1288,1519,946,0.674029212682579
1288,1507,962,0.688372093023256
1288,1468,935,0.678519593613933
1288,1208,852,0.682692307692308
1288,1360,900,0.6797583081571
1288,1506,953,0.68217609162491
1288,1408,912,0.676557863501484
1288,1429,891,0.65587044534413
1288,1349,936,0.709897610921502
1288,1433,937,0.688717383314958
1288,1419,924,0.682674547469524
1288,1375,903,0.678182500938791
1288,1415,994,0.735479097299297
1288,1467,934,0.678039927404719
1288,1426,969,0.714075165806927
1288,1511,964,0.688817434798142
1288,1223,877,0.69852648347272
1288,1409,919,0.681497960697071
1288,1456,927,0.675655976676385
1288,1163,806,0.657690738474092
1288,1171,795,0.646604310695405
1288,1423,908,0.66986351899668
1288,1199,822,0.661037394451146
1288,1455,926,0.675173168064163
1288,1366,942,0.709871891484552
