"number_edges_cminet","number_edges_phy","TP","F_score"
161,151,130,0.833333333333333
161,172,139,0.834834834834835
161,149,129,0.832258064516129
161,173,140,0.838323353293413
161,135,121,0.817567567567567
161,169,144,0.872727272727273
161,143,123,0.809210526315789
161,167,137,0.835365853658537
161,164,141,0.867692307692308
161,154,136,0.863492063492063
161,167,136,0.829268292682927
161,161,136,0.84472049689441
161,149,124,0.8
161,161,133,0.826086956521739
161,179,143,0.841176470588235
161,172,141,0.846846846846847
161,146,134,0.872964169381107
161,163,137,0.845679012345679
161,147,127,0.824675324675325
161,171,138,0.831325301204819
161,157,133,0.836477987421384
161,165,139,0.852760736196319
161,177,141,0.834319526627219
161,164,134,0.824615384615385
161,162,142,0.879256965944272
161,165,133,0.815950920245399
161,159,133,0.83125
161,154,137,0.86984126984127
161,162,134,0.829721362229102
161,159,136,0.85
161,156,135,0.851735015772871
161,168,135,0.820668693009118
161,187,146,0.839080459770115
161,153,131,0.834394904458599
161,171,137,0.825301204819277
161,167,137,0.835365853658537
161,154,133,0.844444444444444
161,147,130,0.844155844155844
161,154,135,0.857142857142857
161,164,132,0.812307692307692
161,147,130,0.844155844155844
161,158,135,0.846394984326019
161,180,144,0.844574780058651
161,159,131,0.81875
161,169,136,0.824242424242424
161,162,131,0.811145510835913
161,178,138,0.814159292035398
161,161,136,0.84472049689441
161,171,139,0.837349397590361
161,177,145,0.857988165680473
